benchmark,mode,Threads,Samples,score,score_error,unit,dataset_size,class_name,operation,is_outlier
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0012991732787080061,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0011071980837282919,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.001344817877865012,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00160946279478935,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010782076140984198,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010782125777399007,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0016264487798359224,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.001381021150942878,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010070622126873738,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.001313034022681493,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010088933533118527,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010081943401219421,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0012221532762342825,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0005705514784797762,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0006274997269757044,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0009790016995069775,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0008427873237634846,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00124400746450446,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0008744739939658156,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0007220134201427169,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0015921145755138678,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010807402834344842,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.001169416031719196,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0007182510367182526,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0009844149199930382,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.001182535603683789,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0008010161983597521,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0012625860592597093,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.000967406862705302,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0010608112368662493,0.000202,ops/ns,1000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0001352925342751914,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00018303996186380884,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00014673738314855154,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00012642001268421216,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00016300433860928296,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00012324592301814883,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00015106387985436702,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00010887050243265882,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.00012115735122797835,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
com.research.benchmark.ArrayListBenchmark.delete,thrpt,1,30,0.0001508303487524291,1.3e-05,ops/ns,10000,ArrayListBenchmark,delete,False
